"targetIndex","targetName","targetClass","slot","itemIndex","itemName","className","qty"
"200","锆","Lv12Refine_Zirconium","A","100","火星岩","Lv12Refine_IgneousRock_RS","4"
"201","钛","Lv12Refine_Titanium","A","101","钛 原石","Lv12Refine_Titanium_RS","3"
"202","镍","Lv12Refine_Nickel","A","102","镍 原石","Lv12Refine_Nickel_RS","4"
"203","铜","Lv12Refine_Copper","A","103","铜 原石","Lv12Refine_Copper_RS","4"
"207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","A","104","蜘蛛岩","Lv12Refine_SpiderStone","4"
"208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","A","105","铸铁 矿石","Lv12Refine_IronOre","3"
"211","腰果 涂料","Lv12Refine_CashewPaint","A","106","腰果 果实","Lv12Refine_Cashew","2"
"212","福尔马林 混合物","Lv12Refine_MixFormalin","A","107","特殊 稀释剂","SpecialDiluted","1"
"212","福尔马林 混合物","Lv12Refine_MixFormalin","B","108","药草","Herb","10000"
"219","坚韧 邕鳞 皮","Lv12Refine_DragonScale_Tough","A","109","红色 邕鳞","Lv12Refine_DragonScale_Red","1"
"219","坚韧 邕鳞 皮","Lv12Refine_DragonScale_Tough","B","110","绿色 邕鳞","Lv12Refine_DragonScale_Blue","1"
"302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","A","200","锆","Lv12Refine_Zirconium","2"
"302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","B","201","钛","Lv12Refine_Titanium","2"
"302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","C","202","镍","Lv12Refine_Nickel","2"
"302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","D","203","铜","Lv12Refine_Copper","2"
"303","钢铁 补丁铁","Lv12Refine_SteelHasp","A","204","钢铁","Steel","700"
"303","钢铁 补丁铁","Lv12Refine_SteelHasp","B","205","合金粉","AlloyPowder","650"
"303","钢铁 补丁铁","Lv12Refine_SteelHasp","C","206","一般 补丁铁","Lv12Refine_Hasp","1"
"305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","A","207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","2"
"305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","B","208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","2"
"305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","C","202","镍","Lv12Refine_Nickel","2"
"305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","D","203","铜","Lv12Refine_Copper","2"
"306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","A","209","蓝色 枢纽","Lv12Refine_BlueHerb","2"
"306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","B","210","魔力石","PowerGem","400"
"306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","C","211","腰果 涂料","Lv12Refine_CashewPaint","1"
"306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","D","212","福尔马林 混合物","Lv12Refine_MixFormalin","1"
"308","燃起的烟火 衣料","Lv12Refine_FireCloth","A","213","萨菲罗斯 衣料","Lv12Refine_SephirothCloth","5"
"308","燃起的烟火 衣料","Lv12Refine_FireCloth","B","214","烟火之净水","Lv12Refine_Marrow_Fire","1"
"310","魔力的 净水","Lv12Refine_Magic_Cream","A","215","精工宝石","WareGemstone","50"
"310","魔力的 净水","Lv12Refine_Magic_Cream","B","210","魔力石","PowerGem","50"
"311","火山的 钢绞线","Lv12Refine_Yarn_Red","A","216","火山的 茧","Lv12Refine_Cocoon_Red","3"
"312","魔力的 红色颜料","Lv12Refine_ManaDye_Red","A","210","魔力石","PowerGem","160"
"312","魔力的 红色颜料","Lv12Refine_ManaDye_Red","B","217","特殊 稀释剂","SpecialDiluted","1"
"312","魔力的 红色颜料","Lv12Refine_ManaDye_Red","C","218","红色天然颜料","Lv12Refine_Dye_Red","1"
"314","强化 邕鳞 皮","Lv12Refine_DragonScale_Strong","A","219","坚韧 邕鳞 皮","Lv12Refine_DragonScale_Tough","2"
"314","强化 邕鳞 皮","Lv12Refine_DragonScale_Strong","B","220","贝壳","Patch","500"
"315","精灵 带有的 皮带","Lv12Refine_ElementalStrap","A","221","精灵之气","Lv12Refine_ElementalForce","1"
"315","精灵 带有的 皮带","Lv12Refine_ElementalStrap","B","213","萨菲罗斯 衣料","Lv12Refine_SephirothCloth","5"
"315","精灵 带有的 皮带","Lv12Refine_ElementalStrap","C","222","皮带","Strap","500"
"318","结冰的月光 衣料","Lv12Refine_IceCloth","A","213","萨菲罗斯 衣料","Lv12Refine_SephirothCloth","5"
"318","结冰的月光 衣料","Lv12Refine_IceCloth","B","223","冰的 净水","Lv12Refine_Marrow_Ice","1"
"319","生命的 钢绞线","Lv12Refine_Yarn_Green","A","224","生命的 茧","Lv12Refine_Cocoon_Green","3"
"320","魔力的 绿色 颜料","Lv12Refine_ManaDye_Blue","A","210","魔力石","PowerGem","160"
"320","魔力的 绿色 颜料","Lv12Refine_ManaDye_Blue","B","217","特殊 稀释剂","SpecialDiluted","1"
"320","魔力的 绿色 颜料","Lv12Refine_ManaDye_Blue","C","225","绿色 天然颜料","Lv12Refine_Dye_Blue","1"
