"itemIndex","step","type","itemName","className"
"100","1","一级材料","火星岩","Lv12Refine_IgneousRock_RS"
"101","1","一级材料","钛 原石","Lv12Refine_Titanium_RS"
"102","1","一级材料","镍 原石","Lv12Refine_Nickel_RS"
"103","1","一级材料","铜 原石","Lv12Refine_Copper_RS"
"104","1","一级材料","蜘蛛岩","Lv12Refine_SpiderStone"
"105","1","一级材料","铸铁 矿石","Lv12Refine_IronOre"
"106","1","一级材料","腰果 果实","Lv12Refine_Cashew"
"107","1","一级材料","特殊 稀释剂","SpecialDiluted"
"108","1","一级材料","药草","Herb"
"109","1","一级材料","红色 邕鳞","Lv12Refine_DragonScale_Red"
"110","1","一级材料","绿色 邕鳞","Lv12Refine_DragonScale_Blue"
"200","2","二级材料","锆","Lv12Refine_Zirconium"
"201","2","二级材料","钛","Lv12Refine_Titanium"
"202","2","二级材料","镍","Lv12Refine_Nickel"
"203","2","二级材料","铜","Lv12Refine_Copper"
"204","2","二级材料","钢铁","Steel"
"205","2","二级材料","合金粉","AlloyPowder"
"206","2","二级材料","一般 补丁铁","Lv12Refine_Hasp"
"207","2","二级材料","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone"
"208","2","二级材料","铸铁 矿石 铸块","Lv12Refine_IronOre_I"
"209","2","二级材料","蓝色 枢纽","Lv12Refine_BlueHerb"
"210","2","二级材料","魔力石","PowerGem"
"211","2","二级材料","腰果 涂料","Lv12Refine_CashewPaint"
"212","2","二级材料","福尔马林 混合物","Lv12Refine_MixFormalin"
"213","2","二级材料","萨菲罗斯 衣料","Lv12Refine_SephirothCloth"
"214","2","二级材料","烟火之净水","Lv12Refine_Marrow_Fire"
"215","2","二级材料","精工宝石","WareGemstone"
"216","2","二级材料","火山的 茧","Lv12Refine_Cocoon_Red"
"217","2","二级材料","特殊 稀释剂","SpecialDiluted"
"218","2","二级材料","红色天然颜料","Lv12Refine_Dye_Red"
"219","2","二级材料","坚韧 邕鳞 皮","Lv12Refine_DragonScale_Tough"
"220","2","二级材料","贝壳","Patch"
"221","2","二级材料","精灵之气","Lv12Refine_ElementalForce"
"222","2","二级材料","皮带","Strap"
"223","2","二级材料","冰的 净水","Lv12Refine_Marrow_Ice"
"224","2","二级材料","生命的 茧","Lv12Refine_Cocoon_Green"
"225","2","二级材料","绿色 天然颜料","Lv12Refine_Dye_Blue"
"300","3","三级/中间材料","红色基诺之星","MixGem"
"301","3","三级/中间材料","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll"
"302","3","三级/中间材料","液体 金属 铸块","Lv12Refine_LiquidMetal_I"
"303","3","三级/中间材料","钢铁 补丁铁","Lv12Refine_SteelHasp"
"304","3","三级/中间材料","邪恶守护者的文章","Advance_Item_Insignia"
"305","3","三级/中间材料","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I"
"306","3","三级/中间材料","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue"
"307","3","三级/中间材料","地狱傀儡的拳头","Advance_Item_Fist"
"308","3","三级/中间材料","燃起的烟火 衣料","Lv12Refine_FireCloth"
"309","3","三级/中间材料","皮带","Strap"
"310","3","三级/中间材料","魔力的 净水","Lv12Refine_Magic_Cream"
"311","3","三级/中间材料","火山的 钢绞线","Lv12Refine_Yarn_Red"
"312","3","三级/中间材料","魔力的 红色颜料","Lv12Refine_ManaDye_Red"
"313","3","三级/中间材料","恶魔术士的蓝宝石","Advance_Item_RedJewel"
"314","3","三级/中间材料","强化 邕鳞 皮","Lv12Refine_DragonScale_Strong"
"315","3","三级/中间材料","精灵 带有的 皮带","Lv12Refine_ElementalStrap"
"316","3","三级/中间材料","幻想的宝石 装饰品","Lv12Refine_FantasticAccessory"
"317","3","三级/中间材料","恶魔弓箭手的箭","Advance_Item_Arrow"
"318","3","三级/中间材料","结冰的月光 衣料","Lv12Refine_IceCloth"
"319","3","三级/中间材料","生命的 钢绞线","Lv12Refine_Yarn_Green"
"320","3","三级/中间材料","魔力的 绿色 颜料","Lv12Refine_ManaDye_Blue"
"321","3","三级/中间材料","恶魔术士的蓝宝石","Advance_Item_BlueJewel"
"400","4","成品","摩西尔之剑","MurcielSword"
"401","4","成品","摩西尔之盔","MurcielHelmet"
"402","4","成品","摩西尔之铠","MurcielArmor"
"403","4","成品","摩西尔之手","MurcielVambrace"
"404","4","成品","摩西尔之靴","MurcielBoots"
"405","4","成品","摩西尔之盾","MurcielShield"
"406","4","成品","阿克德拳套","AcordGauntlet"
"407","4","成品","阿克德之盔","AcordHelmet"
"408","4","成品","阿克德之铠","AcordArmor"
"409","4","成品","阿克德之手","AcordVambrace"
"410","4","成品","阿克德之靴","AcordBoots"
"411","4","成品","阿克德之盾","AcordProtector"
"412","4","成品","阿博雷兹法杖","AblazeStaff"
"413","4","成品","阿博雷兹之盔","AblazeHelmet"
"414","4","成品","阿博雷兹之服","AblazeGarment"
"415","4","成品","阿博雷兹之手","AblazeVambrace"
"416","4","成品","阿博雷兹之靴","AblazeBoots"
"417","4","成品","艾布莱德弓","ApliteBow"
"418","4","成品","艾布莱德之帽","ApliteCap"
"419","4","成品","艾布莱德之甲","ApliteGarb"
"420","4","成品","艾布莱德之手","ApliteSleevelet"
"421","4","成品","艾布莱德之鞋","ApliteSandal"
"422","4","成品","格莱西之棍","GlaciesStick"
"423","4","成品","格莱西之帽","GlaciesCap"
"424","4","成品","格莱西之服","GlaciesGown"
"425","4","成品","格莱西之手","GlaciesSleevelet"
"426","4","成品","格莱西之鞋","GlaciesSandal"
