"recipeClass","productIndex","productName","productClass","line","lineType","itemIndex","itemName","className","qty"
"MurcielSword","400","摩西尔之剑","MurcielSword","0","成品行","400","摩西尔之剑","MurcielSword","99"
"MurcielSword","400","摩西尔之剑","MurcielSword","1","三级/中间材料","302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","5"
"MurcielSword","400","摩西尔之剑","MurcielSword","2","二级材料","200","锆","Lv12Refine_Zirconium","2"
"MurcielSword","400","摩西尔之剑","MurcielSword","3","二级材料","201","钛","Lv12Refine_Titanium","2"
"MurcielSword","400","摩西尔之剑","MurcielSword","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"MurcielSword","400","摩西尔之剑","MurcielSword","5","二级材料","203","铜","Lv12Refine_Copper","2"
"MurcielSword","400","摩西尔之剑","MurcielSword","6","三级/中间材料","303","钢铁 补丁铁","Lv12Refine_SteelHasp","1"
"MurcielSword","400","摩西尔之剑","MurcielSword","7","二级材料","204","钢铁","Steel","700"
"MurcielSword","400","摩西尔之剑","MurcielSword","8","二级材料","205","合金粉","AlloyPowder","650"
"MurcielSword","400","摩西尔之剑","MurcielSword","9","二级材料","206","一般 补丁铁","Lv12Refine_Hasp","1"
"MurcielSword","400","摩西尔之剑","MurcielSword","10","三级/中间材料","300","红色基诺之星","MixGem","6"
"MurcielSword","400","摩西尔之剑","MurcielSword","11","三级/中间材料","304","邪恶守护者的文章","Advance_Item_Insignia","4"
"MurcielSword","400","摩西尔之剑","MurcielSword","12","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"MurcielShield","405","摩西尔之盾","MurcielShield","0","成品行","405","摩西尔之盾","MurcielShield","99"
"MurcielShield","405","摩西尔之盾","MurcielShield","1","三级/中间材料","302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","4"
"MurcielShield","405","摩西尔之盾","MurcielShield","2","二级材料","200","锆","Lv12Refine_Zirconium","2"
"MurcielShield","405","摩西尔之盾","MurcielShield","3","二级材料","201","钛","Lv12Refine_Titanium","2"
"MurcielShield","405","摩西尔之盾","MurcielShield","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"MurcielShield","405","摩西尔之盾","MurcielShield","5","二级材料","203","铜","Lv12Refine_Copper","2"
"MurcielShield","405","摩西尔之盾","MurcielShield","6","三级/中间材料","303","钢铁 补丁铁","Lv12Refine_SteelHasp","1"
"MurcielShield","405","摩西尔之盾","MurcielShield","7","二级材料","204","钢铁","Steel","700"
